stress_period	sp_length	time_step	study (0 : TS or 1 : SS)	rech
0.0	1.0	1.0	1.0	0.000825033570171436
11324.0	2.0	1.0	0.0	0.00026
11326.0	2.0	1.0	0.0	0.00046
11328.0	2.0	1.0	0.0	0.00042500000000000003
11330.0	2.0	1.0	0.0	0.00024
11332.0	2.0	1.0	0.0	0.0
11334.0	2.0	1.0	0.0	0.0
11336.0	2.0	1.0	0.0	0.0
11338.0	2.0	1.0	0.0	4e-05
11340.0	2.0	1.0	0.0	0.0
11342.0	2.0	1.0	0.0	2e-05
11344.0	2.0	1.0	0.0	0.0
11346.0	2.0	1.0	0.0	0.0
11348.0	2.0	1.0	0.0	0.0
11350.0	2.0	1.0	0.0	0.0
11352.0	2.0	1.0	0.0	2.5e-05
11354.0	2.0	1.0	0.0	2e-05
11356.0	2.0	1.0	0.0	6e-05
11358.0	2.0	1.0	0.0	1e-05
11360.0	2.0	1.0	0.0	5e-06
11362.0	2.0	1.0	0.0	0.0
11364.0	2.0	1.0	0.0	0.0
11366.0	2.0	1.0	0.0	5.5e-05
11368.0	2.0	1.0	0.0	0.0
11370.0	2.0	1.0	0.0	1.5e-05
11372.0	2.0	1.0	0.0	6.500000000000001e-05
11374.0	2.0	1.0	0.0	1.5e-05
11376.0	2.0	1.0	0.0	0.0
11378.0	2.0	1.0	0.0	0.000125
11380.0	2.0	1.0	0.0	5e-05
11382.0	2.0	1.0	0.0	0.00015000000000000001
11384.0	2.0	1.0	0.0	0.000155
11386.0	2.0	1.0	0.0	0.00015000000000000001
11388.0	2.0	1.0	0.0	0.0
11390.0	2.0	1.0	0.0	0.000255
11392.0	2.0	1.0	0.0	1e-05
11394.0	2.0	1.0	0.0	0.0
11396.0	2.0	1.0	0.0	0.00024
11398.0	2.0	1.0	0.0	5e-05
11400.0	2.0	1.0	0.0	8.5e-05
11402.0	2.0	1.0	0.0	0.00039999999999999996
11404.0	2.0	1.0	0.0	0.00024
11406.0	2.0	1.0	0.0	0.00017500000000000003
11408.0	2.0	1.0	0.0	0.00012000000000000002
11410.0	2.0	1.0	0.0	9.5e-05
11412.0	2.0	1.0	0.0	0.0
11414.0	2.0	1.0	0.0	2.5e-05
11416.0	2.0	1.0	0.0	0.0
11418.0	2.0	1.0	0.0	5e-06
11420.0	2.0	1.0	0.0	0.000815
11422.0	2.0	1.0	0.0	0.000195
11424.0	2.0	1.0	0.0	6e-05
11426.0	2.0	1.0	0.0	0.00024
11428.0	2.0	1.0	0.0	5e-06
11430.0	2.0	1.0	0.0	0.0
11432.0	2.0	1.0	0.0	0.0
11434.0	2.0	1.0	0.0	0.0
11436.0	2.0	1.0	0.0	5e-05
