stress_period	sp_length	time_step	study (0 : TS or 1 : SS)	rech
0.0	1.0	1.0	1.0	0.0001745170932347659
1.0	2.0	1.0	0.0	6.087869405746459e-06
3.0	2.0	1.0	0.0	5.331605672836304e-06
5.0	2.0	1.0	0.0	4.749149084091187e-06
7.0	2.0	1.0	0.0	4.288852214813232e-06
9.0	2.0	1.0	0.0	3.924101591110229e-06
11.0	2.0	1.0	0.0	3.639906644821167e-06
13.0	2.0	1.0	0.0	3.4129619598388675e-06
15.0	2.0	1.0	0.0	3.2262802124023438e-06
17.0	2.0	1.0	0.0	3.066420555114746e-06
19.0	2.0	1.0	0.0	2.9284954071044925e-06
21.0	2.0	1.0	0.0	2.809882164001465e-06
23.0	2.0	1.0	0.0	2.7071833610534666e-06
25.0	2.0	1.0	0.0	2.6199817657470705e-06
27.0	2.0	1.0	0.0	2.54744291305542e-06
29.0	2.0	1.0	0.0	2.4992823600769046e-06
31.0	2.0	1.0	0.0	2.4950504302978515e-06
33.0	2.0	1.0	0.0	2.5114417076110843e-06
35.0	2.0	1.0	0.0	2.5237798690795898e-06
37.0	2.0	1.0	0.0	2.5200843811035157e-06
39.0	2.0	1.0	0.0	2.5025010108947754e-06
41.0	2.0	1.0	0.0	2.478301525115967e-06
43.0	2.0	1.0	0.0	2.4492740631103515e-06
45.0	2.0	1.0	0.0	2.4187564849853515e-06
47.0	2.0	1.0	0.0	2.3871660232543944e-06
49.0	2.0	1.0	0.0	2.3555755615234373e-06
51.0	2.0	1.0	0.0	2.3235082626342773e-06
53.0	2.0	1.0	0.0	2.301812171936035e-06
55.0	2.0	1.0	0.0	2.2876858711242676e-06
57.0	2.0	1.0	0.0	2.271473407745361e-06
59.0	2.0	1.0	0.0	2.251625061035156e-06
61.0	2.0	1.0	0.0	2.228260040283203e-06
63.0	2.0	1.0	0.0	2.2037625312805175e-06
65.0	2.0	1.0	0.0	2.1762251853942873e-06
67.0	2.0	1.0	0.0	2.1512508392333984e-06
69.0	2.0	1.0	0.0	2.126336097717285e-06
71.0	2.0	1.0	0.0	2.0986795425415035e-06
73.0	2.0	1.0	0.0	2.0710229873657224e-06
75.0	2.0	1.0	0.0	2.0437836647033692e-06
77.0	2.0	1.0	0.0	2.0211338996887206e-06
79.0	2.0	1.0	0.0	2.000391483306885e-06
81.0	2.0	1.0	0.0	1.9787549972534176e-06
83.0	2.0	1.0	0.0	1.957714557647705e-06
85.0	2.0	1.0	0.0	1.9384026527404786e-06
87.0	2.0	1.0	0.0	1.9183158874511717e-06
89.0	2.0	1.0	0.0	1.8960833549499512e-06
91.0	2.0	1.0	0.0	1.8723607063293455e-06
93.0	2.0	1.0	0.0	1.0265827178955078e-05
95.0	2.0	1.0	0.0	5.123496055603027e-06
97.0	2.0	1.0	0.0	3.090620040893555e-06
99.0	2.0	1.0	0.0	2.5376081466674804e-06
101.0	2.0	1.0	0.0	2.353847026824951e-06
103.0	2.0	1.0	0.0	2.2684931755065916e-06
105.0	2.0	1.0	0.0	2.2021532058715823e-06
107.0	2.0	1.0	0.0	2.140223979949951e-06
109.0	2.0	1.0	0.0	2.4693012237548826e-06
111.0	2.0	1.0	0.0	2.3463964462280273e-06
113.0	2.0	1.0	0.0	2.1952986717224123e-06
115.0	2.0	1.0	0.0	4.079639911651611e-06
117.0	2.0	1.0	0.0	3.1546950340270996e-06
119.0	2.0	1.0	0.0	2.6247501373291016e-06
121.0	2.0	1.0	0.0	2.414524555206299e-06
123.0	2.0	1.0	0.0	1.801538467407227e-05
125.0	2.0	1.0	0.0	7.603228092193604e-06
127.0	2.0	1.0	0.0	3.8366317749023435e-06
129.0	2.0	1.0	0.0	3.4235715866088864e-06
131.0	2.0	1.0	0.0	3.1485557556152343e-06
133.0	2.0	1.0	0.0	2.9061436653137206e-06
135.0	2.0	1.0	0.0	3.0826926231384274e-06
137.0	2.0	1.0	0.0	3.069400787353516e-06
139.0	2.0	1.0	0.0	2.823054790496826e-06
141.0	2.0	1.0	0.0	2.6488304138183597e-06
143.0	2.0	1.0	0.0	2.4965405464172366e-06
145.0	2.0	1.0	0.0	2.3565888404846187e-06
147.0	2.0	1.0	0.0	3.975111246109009e-05
