SiteNumber,Upscaling Factor,Control Metric (m),Time (s),Nb Simu Per Hour
7,7,0.0148834131981546,2917,1.23414466918067
7,15,0.0215394103842606,2060,1.74757281553398
7,21,0.0241524142781613,1796,2.00445434298441
7,30,0.0316583333666094,1532,2.34986945169713
7,45,0.0451398224983757,1398,2.57510729613734
7,50,0.048759907806012,1361,2.64511388684791
7,60,0.0589905795479446,1289,2.79286268425136
7,75,0.0675783894922642,1133,3.17740511915269
7,90,0.086542647569335,1085,3.31797235023041
7,100,0.0904205207984803,1006,3.57852882703777
7,125,0.113680081215188,896,4.01785714285714
7,150,0.134479047556038,825,4.36363636363636
7,182,0.182130991412917,615,5.85365853658537
7,200,0.16152476342809,663,5.42986425339367
7,250,0.210735173168792,552,6.52173913043478
7,300,0.228137872760059,457,7.87746170678337
7,330,0.217848306760813,399,9.02255639097744
7,365,0.219958449622771,547,6.58135283363803
7,550,0.266351828357836,291,12.3711340206186
7,640,0.308227135065414,224,16.0714285714286
7,730,0.287435357647733,203,17.7339901477833
7,1000,0.283109983343462,197,18.2741116751269
7,1500,0.313904839306365,148,24.3243243243243
7,2000,0.362634914686763,117,30.7692307692308
7,2250,0.387615133825422,91,39.5604395604396
7,3000,0.444561632049372,65,55.3846153846154
7,3182,0.44656733111129,68,52.9411764705882
7,3652,0.443845972865673,55,65.4545454545455
8,1,0,18714,0.192369349150369
8,2,0.0024292213964008,10985,0.327719617660446
8,7,0.0098897397031194,4689,0.767754318618042
8,15,0.0155699495178959,3327,1.08205590622182
8,21,0.0205921143023982,2909,1.23753867308353
8,30,0.0261748518897128,2458,1.46460537021969
8,45,0.0370042592729786,2321,1.5510555794916
8,50,0.0411498392865107,2195,1.64009111617312
8,60,0.0492114794156571,2135,1.68618266978923
8,75,0.0551663282849413,1894,1.90073917634636
8,90,0.0692507301025263,1777,2.0258863252673
8,100,0.0671801751349022,1659,2.16998191681736
8,125,0.0867459868794762,1614,2.23048327137546
8,150,0.100514508638487,1422,2.53164556962025
8,182,0.135001812577932,1089,3.30578512396694
8,200,0.120875643734586,1213,2.96784830997527
8,250,0.156961914435286,955,3.7696335078534
8,300,0.163228642142605,843,4.27046263345196
8,330,0.166054011779634,714,5.04201680672269
8,365,0.166917649163785,662,5.4380664652568
8,550,0.228071215179287,563,6.3943161634103
8,640,0.20085964016821,406,8.86699507389163
8,730,0.229069870562346,382,9.42408376963351
8,1000,0.228905924659512,399,9.02255639097744
8,1500,0.253291997630736,270,13.3333333333333
8,2000,0.307444958247462,239,15.0627615062762
8,2250,0.254621859038174,166,21.6867469879518
8,3000,0.295245870998927,95,37.8947368421053
8,3182,0.307757433934434,102,35.2941176470588
8,3652,0.298845403357927,80,45
10,1,0,50764,0.0709163974470097
10,2,0.0036961359926021,32101,0.112146039064204
10,7,0.0149153057926668,14541,0.247575820094904
10,15,0.0245984761310134,9625,0.374025974025974
10,21,0.0299447072943751,8918,0.403677954698363
10,30,0.0396167202369016,7555,0.476505625413633
10,45,0.0553832776252949,7034,0.511799829400057
10,50,0.0593835806914336,6761,0.532465611595918
10,60,0.0679561298715281,6668,0.539892021595681
10,75,0.0761342205895982,4221,0.852878464818763
10,90,0.0915538363720714,5179,0.695114887043831
10,100,0.0973990073949321,5162,0.697404106935296
10,125,0.115674767179014,4818,0.74719800747198
10,150,0.125638631734198,4323,0.832755031228314
10,182,0.169494080817697,3122,1.1531069827034
10,200,0.150573549791681,3587,1.00362419849456
10,250,0.184844321141275,2889,1.24610591900312
10,300,0.194645049032568,2406,1.49625935162095
10,330,0.190248519479968,2217,1.62381596752368
10,365,0.191919224030599,2076,1.73410404624277
10,550,0.2098037967335,1555,2.31511254019293
10,640,0.210992414643249,1193,3.0176026823135
10,730,0.221997281966332,1130,3.1858407079646
10,1000,0.219596127415431,1090,3.30275229357798
10,1500,0.23986090813214,765,4.70588235294118
10,2000,0.252943937327192,684,5.26315789473684
10,2250,0.26178026268375,496,7.25806451612903
10,3000,0.285285447178694,331,10.8761329305136
10,3182,0.28142434233193,415,8.67469879518072
10,3652,0.277418471559083,350,10.2857142857143
11,1,0,5906,0.609549610565527
11,2,0.0019370712288229,3490,1.03151862464183
11,7,0.007095871537476,1567,2.297383535418
